,game id*,date,balls*,strikes*,visiting team*,batting team*,batter_last_name,batter_first_name,res batter*,res batter hand*,pitcher_last_name,pitcher_first_name,res pitcher*,res pitcher hand*
458,BOS202107230,2021-07-23,3,2,NYA,home,Dalbec,Robert Vernon,dalbb001,R,Cole,Gerrit Alan,coleg001,R
469,BOS202107230,2021-07-23,1,2,NYA,home,Renfroe,Dustin Hunter,renfh001,R,Cortes,Nestor,cortn001,L
471,BOS202107230,2021-07-23,2,2,NYA,away,Florial,Estevan Haniel,flore001,L,Whitlock,Garrett Getts,whitg002,R
476,BOS202107230,2021-07-23,3,2,NYA,home,Dalbec,Robert Vernon,dalbb001,R,Cortes,Nestor,cortn001,L
479,BOS202107230,2021-07-23,3,2,NYA,home,Bogaerts,Xander Jan,bogax001,R,Cortes,Nestor,cortn001,L
484,BOS202107230,2021-07-23,1,2,NYA,away,Gardner,Brett M.,gardb001,L,Hernandez,Darwinzon David,hernd004,L
486,BOS202107230,2021-07-23,1,2,NYA,away,Florial,Estevan Haniel,flore001,L,Hernandez,Darwinzon David,hernd004,L
488,BOS202107230,2021-07-23,1,2,NYA,home,Renfroe,Dustin Hunter,renfh001,R,Wilson,Justin James,wilsj004,L
498,BOS202107240,2021-07-24,1,2,NYA,away,Stanton,Giancarlo Cruz-Michael,stanm004,R,Eovaldi,Nathan Edward,eovan001,R
499,BOS202107240,2021-07-24,0,2,NYA,away,Odor,Rougned Roberto,odorr001,L,Eovaldi,Nathan Edward,eovan001,R
502,BOS202107240,2021-07-24,1,2,NYA,home,Bogaerts,Xander Jan,bogax001,R,Taillon,Jameson Lee,tailj001,R
504,BOS202107240,2021-07-24,0,2,NYA,away,Torres,Gleyber David,torrg001,R,Eovaldi,Nathan Edward,eovan001,R
505,BOS202107240,2021-07-24,0,2,NYA,away,Allen,Gregory Lomack,alleg002,L,Eovaldi,Nathan Edward,eovan001,R
511,BOS202107240,2021-07-24,1,2,NYA,home,Chavis,Michael Scott,chavm001,R,Taillon,Jameson Lee,tailj001,R
516,BOS202107240,2021-07-24,0,2,NYA,away,Gardner,Brett M.,gardb001,L,Eovaldi,Nathan Edward,eovan001,R
521,BOS202107240,2021-07-24,0,2,NYA,away,Stanton,Giancarlo Cruz-Michael,stanm004,R,Eovaldi,Nathan Edward,eovan001,R
523,BOS202107240,2021-07-24,2,2,NYA,away,Torres,Gleyber David,torrg001,R,Eovaldi,Nathan Edward,eovan001,R
530,BOS202107240,2021-07-24,1,2,NYA,home,Chavis,Michael Scott,chavm001,R,Taillon,Jameson Lee,tailj001,R
535,BOS202107240,2021-07-24,1,2,NYA,away,Gardner,Brett M.,gardb001,L,Eovaldi,Nathan Edward,eovan001,R
545,BOS202107240,2021-07-24,1,2,NYA,home,Plawecki,Kevin Jeffrey,plawk001,R,Taillon,Jameson Lee,tailj001,R
569,BOS202107240,2021-07-24,2,2,NYA,home,Plawecki,Kevin Jeffrey,plawk001,R,Chapman,Albertin Aroldis (de la Cruz),chapa001,L
572,BOS202107240,2021-07-24,2,2,NYA,home,Hernandez,Enrique J.,herne001,R,Chapman,Albertin Aroldis (de la Cruz),chapa001,L
574,BOS202107250,2021-07-25,1,2,NYA,away,Stanton,Giancarlo Cruz-Michael,stanm004,R,Perez,Martin (Jimenez),perem004,L
575,BOS202107250,2021-07-25,0,2,NYA,away,Odor,Rougned Roberto,odorr001,L,Perez,Martin (Jimenez),perem004,L
578,BOS202107250,2021-07-25,2,2,NYA,home,Duran,Jarren William,duraj001,L,German,Domingo,germd001,R
580,BOS202107250,2021-07-25,2,2,NYA,away,Torres,Gleyber David,torrg001,R,Perez,Martin (Jimenez),perem004,L
585,BOS202107250,2021-07-25,1,2,NYA,home,Verdugo,Alex Brady,verda001,L,German,Domingo,germd001,R
586,BOS202107250,2021-07-25,2,2,NYA,away,LaMarre,Ryan M.,lamar001,R,Perez,Martin (Jimenez),perem004,L
588,BOS202107250,2021-07-25,2,2,NYA,away,LeMahieu,David John,lemad001,R,Perez,Martin (Jimenez),perem004,L
591,BOS202107250,2021-07-25,0,2,NYA,away,Sanchez,Gary,sancg002,R,Perez,Martin (Jimenez),perem004,L
594,BOS202107250,2021-07-25,1,2,NYA,home,Cordero,Franchy (Vargas),cordf003,L,German,Domingo,germd001,R
600,BOS202107250,2021-07-25,0,2,NYA,home,Duran,Jarren William,duraj001,L,German,Domingo,germd001,R
602,BOS202107250,2021-07-25,0,2,NYA,home,Devers,Rafael Calcano,dever001,L,German,Domingo,germd001,R
614,BOS202107250,2021-07-25,2,2,NYA,home,Cordero,Franchy (Vargas),cordf003,L,German,Domingo,germd001,R
620,BOS202107250,2021-07-25,1,2,NYA,away,Stanton,Giancarlo Cruz-Michael,stanm004,R,Taylor,Joshua Earl,taylj001,L
624,BOS202107250,2021-07-25,0,2,NYA,home,Devers,Rafael Calcano,dever001,L,German,Domingo,germd001,R
625,BOS202107250,2021-07-25,1,2,NYA,home,Martinez,Julio Daniel,martj006,R,German,Domingo,germd001,R
652,BOS202107260,2021-07-26,0,2,TOR,home,Duran,Jarren William,duraj001,L,Hatch,Thomas,hatct001,R
655,BOS202107260,2021-07-26,3,2,TOR,home,Devers,Rafael Calcano,dever001,L,Hatch,Thomas,hatct001,R
656,BOS202107260,2021-07-26,1,2,TOR,away,Hernandez,Teoscar Jose,hernt002,R,Pivetta,Nicholas Johncarlo,piven001,R
665,BOS202107260,2021-07-26,1,2,TOR,home,Hernandez,Enrique J.,herne001,R,Hatch,Thomas,hatct001,R
671,BOS202107260,2021-07-26,0,2,TOR,away,Bichette,Bo Joseph,bichb001,R,Pivetta,Nicholas Johncarlo,piven001,R
681,BOS202107260,2021-07-26,2,2,TOR,away,McGuire,Reese Jackson,mcgur002,L,Pivetta,Nicholas Johncarlo,piven001,R
684,BOS202107260,2021-07-26,1,2,TOR,home,Hernandez,Enrique J.,herne001,R,Hatch,Thomas,hatct001,R
690,BOS202107260,2021-07-26,0,2,TOR,away,Hernandez,Teoscar Jose,hernt002,R,Valdez,Phillips Chalier,valdp002,R
691,BOS202107260,2021-07-26,3,2,TOR,home,Martinez,Julio Daniel,martj006,R,Saucedo,Tayler Andrew,sauct001,L
697,BOS202107260,2021-07-26,2,2,TOR,away,Biggio,Cavan Thomas,biggc002,L,Valdez,Phillips Chalier,valdp002,R
712,BOS202107260,2021-07-26,1,2,TOR,home,Devers,Rafael Calcano,dever001,L,Richards,Trevor,richt001,R
717,BOS202107260,2021-07-26,0,2,TOR,home,Cordero,Franchy (Vargas),cordf003,L,Romano,Jordan Robert,romaj004,R
730,BOS202107281,2021-07-28,3,2,TOR,away,Hernandez,Teoscar Jose,hernt002,R,Richards,Garrett Thomas,richg002,R
739,BOS202107281,2021-07-28,0,2,TOR,home,Chavis,Michael Scott,chavm001,R,Ray,Robert Glenn,ray-r002,L
740,BOS202107281,2021-07-28,3,2,TOR,home,Hernandez,Enrique J.,herne001,R,Ray,Robert Glenn,ray-r002,L
752,BOS202107281,2021-07-28,0,2,TOR,away,Biggio,Cavan Thomas,biggc002,L,Richards,Garrett Thomas,richg002,R
756,BOS202107281,2021-07-28,0,2,TOR,home,Dalbec,Robert Vernon,dalbb001,R,Ray,Robert Glenn,ray-r002,L
757,BOS202107281,2021-07-28,1,2,TOR,home,Chavis,Michael Scott,chavm001,R,Ray,Robert Glenn,ray-r002,L
763,BOS202107281,2021-07-28,3,2,TOR,away,Hernandez,Teoscar Jose,hernt002,R,Rios,Yacksel,riosy001,R
764,BOS202107281,2021-07-28,3,2,TOR,home,Hernandez,Enrique J.,herne001,R,Ray,Robert Glenn,ray-r002,L
767,BOS202107281,2021-07-28,3,2,TOR,home,Renfroe,Dustin Hunter,renfh001,R,Ray,Robert Glenn,ray-r002,L
769,BOS202107281,2021-07-28,1,2,TOR,away,Gurriel,Lourdes Yunielki,gurrl001,R,Rios,Yacksel,riosy001,R
771,BOS202107281,2021-07-28,2,2,TOR,away,Biggio,Cavan Thomas,biggc002,L,Rios,Yacksel,riosy001,R
773,BOS202107281,2021-07-28,0,2,TOR,home,Plawecki,Kevin Jeffrey,plawk001,R,Ray,Robert Glenn,ray-r002,L
774,BOS202107281,2021-07-28,1,2,TOR,home,Dalbec,Robert Vernon,dalbb001,R,Ray,Robert Glenn,ray-r002,L
776,BOS202107281,2021-07-28,3,2,TOR,away,Springer,George Chelston,sprig001,R,Workman,Brandon Carlin,workb001,R
778,BOS202107281,2021-07-28,0,2,TOR,home,Duran,Jarren William,duraj001,L,Romano,Jordan Robert,romaj004,R
781,BOS202107282,2021-07-28,1,2,TOR,away,Springer,George Chelston,sprig001,R,Houck,Tanner,houct001,R
782,BOS202107282,2021-07-28,3,2,TOR,away,Guerrero,"Vladimir, Jr.",guerv002,R,Houck,Tanner,houct001,R
783,BOS202107282,2021-07-28,1,2,TOR,away,Semien,Marcus Andrew,semim001,R,Houck,Tanner,houct001,R
791,BOS202107282,2021-07-28,3,2,TOR,away,Gurriel,Lourdes Yunielki,gurrl001,R,Houck,Tanner,houct001,R
801,BOS202107282,2021-07-28,2,2,TOR,away,McGuire,Reese Jackson,mcgur002,L,Houck,Tanner,houct001,R
802,BOS202107282,2021-07-28,1,2,TOR,away,Springer,George Chelston,sprig001,R,Houck,Tanner,houct001,R
803,BOS202107282,2021-07-28,0,2,TOR,home,Bogaerts,Xander Jan,bogax001,R,Matz,Steven Jakob,matzs001,L
811,BOS202107282,2021-07-28,2,2,TOR,away,Hernandez,Teoscar Jose,hernt002,R,Houck,Tanner,houct001,R
815,BOS202107282,2021-07-28,3,2,TOR,home,Dalbec,Robert Vernon,dalbb001,R,Matz,Steven Jakob,matzs001,L
821,BOS202107282,2021-07-28,1,2,TOR,home,Renfroe,Dustin Hunter,renfh001,R,Murphy,Patrick Brian,murpp001,R
827,BOS202107282,2021-07-28,0,2,TOR,home,Dalbec,Robert Vernon,dalbb001,R,Murphy,Patrick Brian,murpp001,R
837,BOS202107282,2021-07-28,1,2,TOR,home,Martinez,Julio Daniel,martj006,R,Thornton,Trent Edward,thort002,R
